,cons,pros
2042,"Toda a coordenação é uma completa bagunça, jogam dinheiro fora com varias coisas desnecessárias por isso tá sempre tendo prejuízo financeiro.","Os benefícios são maravilhosos, o pagamento é em dia, possui um ambiente organizado e uma rotina de trabalho tranquila, fácil negociar horários para consultas por exemplo."
2043,No hay muchas prestaciones y realmente consume todo nuestro tiempo y esfuerzo,"Es una empresa donde no hay disciminacion, todos nos llevamos bien y tenemos muy en claro el objetivo general de la empresa"
2044,Maîtrise totale de l anglais obligatoire\r\nAscension hiérarchique peu fréquente,"Bon salaire, \r\nBeau locaux design"
2045,"Por ser um contrato autônomo não se tem benefícios. O desgaste material da ferramenta de emprego também é arrcada pelo motorista, não é aconselhável que tem medo de dirigir",Horários de trabalho definido pelo próprio motorista. Renda de acordo com sua persistência. Contato com muitos indivíduos diferentes proporcionado um dia de trabalho agradável
2046,"Não há muitos pontos negativos, acredito que o principal deles seria o fato do Rh ser terceirizado, não de todos os cargos é claro, apenas das funções primárias.","O funcionário é bem tratado, a empresa da o devido reconhecimento à isso, sempre pensam em maneiras de fazer com que o funcionário sinta-se em casa."
2047,"Como toda empresa em fase de estruturação e em rápido crescimento ainda faltam processos, organização, pessoas, definições mais claras dos objetivos a médio e longo prazo.","Empresa jovem, que rompe barreiras e paradigmas e estimula seus colaboradores a inovar e serem autonomos. Tudo isso num ambiente despojado, descontraído mas de muita responsabilidade e respeito com seus colaboradores, passageiros e motoristas."
2048,"Poco trabajo debido a muchos repartidores y menos demanda , tampoco hay ningún tipo de beneficio por estar con ello y dan muy pocas propinas los usuarios lo cual ayudaría a ayudarnos con gastos como la gasolina.","Libertad de horario, puedes usar tus propias herramientas de trabajo lo cual no te endeudaría con gente externa, pero por ello se necesitarían mejores incentivos y menos porcentaje que nos quitara la empresa."
2049,"Schwieriger regionaler Markt, durchschnittliche Bezahlung","Cooles Team, gute Atmosphäre, guter Spirit, spannendes Unternehmen, akzeptable Arbeitszeiten"
2050,Quizá la supervisión sobre el empleado debería ser mas puntual es decir la evaluación por estrellas funciona pero no es exacta y no toma en cuenta los detalles,"La atención de que ofrecen cuando buscas el empleo es excelente, y la rapidez en la que efectúan tu contratación sin mencionar las facilidades que ofrecen"
2051,Empresa padece de falta de processos decisórios. Gerência sem experiência empresarial. Incompatibilidade entre proposta de trabalho feita e a realidade dentro da empresa.,Exposicao de mercado. Convivência com bons prestadores de serviços. Vivência no setor de tecnologia. Exposição a temas relevantes na área do direito.
2052,Manejo de gerencia y supervision. Competencias absurdas. Monitoreo y exigencias ilógicas y poco interés en reconocer errores o maneras de resolver situaciones.,La oportunidad de entender el sistemay de conocer la tecnología. La recompensa diaria por ayudar a muchas personas a ganar dinero extra y mejorar su economía.
2053,"Er is geen gestructureerd programma voor het opleiden van werknemers, hier zou nog een verbeterslag gemaakt kunnen worden.","Leuk gevarieerd werk, gelijkvloerse cultuur waar samen hard en doelgericht wordt gewerkt. Flexibiliteit is noodzaak, je dag kan er elke dag weer anders uitzien dan verwacht."
2054,Salaire très bas par rapport à ce qui est demandé d'effectuer,"Bureaux impeccable, à l'américaine\r\nResponsabilité et autonomie"
2055,"Omdat het bedrijf zo snel groeit komen er continu nieuwe collega's bij. Erg leuk, maar cultuur-bewaking is dat erg belangrijk.","Uber is een giga-snel groeiend bedrijf, de wereld ziet er na een paar maanden compleet anders uit. Dynamisch en kansrijk zijn ' key' en dat is fijn voor een werknemer; je kan je ei kwijt.Heb je een goed idee? Go for it! Die mentaliteit is heel plezierig. Er werken een hoop jonge, gedreven mensen."
2056,"Kein Leben, keine dezente Arbeit, kein gutes Team, kein gutes Gehalt. Was man als Marketing Manager macht ist noch nicht mal richtiges Marketing. Es gilt eher shine als do - alle wollen zeigen wie toll die sind, aber keiner macht eigentlich wirklich was.",Gut fürs CV (momentan noch)
2057,"UBER geeft je een hoge mate van flexibiliteit. Waar je werkt, welke uren je werkt, hoe je werkt.. Zoals in elke start-up is er bij UBER nog weinig structuur, daar moet je wel mee om kunnen gaan, met andere woorden: het leuk vinden om zelf dingen op te pakken. Je wordt niet aan de hand genomen of verteld wat je moet doen, daar moet je zelf achterkomen. Dat geeft je veel flexibiliteit om invloed uit te oefenen op de werkwijze. Maar het kan soms ook beangstigend zijn.","Jong, dynamisch, ambitieus... De meeste cliches over het werken bij een bedrijf als UBER zijn waar. Maar er is nog meer, hoge mate van flexibiliteit, veel invloed op beslissingen, snelle doorgroeimogelijkheden en naast hard werken ook veel fun met collega's. Als een van de hardst groeiende en populairste bedrijven van dit moment krijg je de unieke kans om hier tussen hoog opgeleide mensen van over de hele wereld te werken."
2058,"it is not organized, everything is changing frequently","free working environment, colleagues are friendly"
2059,- Interview and promotion process can change drastically from one year to another\r\n- Trying to higher above average talent with average pay.,- Great opportunities for mobility and promotion
2060,Nothing I can say as of right now.,Great culture and awesome support from the people that works here.
2061,"Slow to tackle the cultural internal problems, still doesn't have some simple procedures structured - it's not a startup anymore but it still looks like.","Fast growing company, super challenging environment, only motivated and intelligent people working there, amazing perks, a lot of career opportunities. Makes you wake up happy every monday."
2062,All the bad press about the company as if we all were responsible for the mistakes of a few people,"I joined the marketing analytics group; a brand new team, breaking ground on experimentation, modeling, performance marketing and data science. We have hired great talent and have a road map full of challenging projects."
2063,Very minimal but the food can be  a bit healthier and a better gym partnership (if any).,"The people I work with really support me and help me grow. The food, snacks, relaxed atmosphere and the chance to work with a well known brand."
2064,I hope to have a good rest day. haha,People are enjoying while working. All the support needed by the agent are given.
2065,"- Uber is indeed a lot in the press, and often for bad reasons, but in truth it has very limited impact in Ams office / EMEA region","- Interesting industry and work challenges\r\n- Intense days, with good work/life balance"
2066,"- To absorb everything at the beginning it can be difficult;\r\n- Things move extremely fast,  you need to adapt to this reality quickly (not a bad thing per say)","- Awesome team, really smart & cool people;\r\n- You learn a lot!\r\n- You take ownership of projects from day one;\r\n- Involvement in projects outside your role scope;\r\n- Amazing career opportunities!"
2067,"startup mentality, lack of planning, few senior level employees","Huge empowerment, nice people, cool place. Building up a new world"
2068,Salary is embarrassing. I am legitimately embarrassed to tell people how much I make for the job that I do. I work 50+ hours a week and have no work/life balance.,"Super relaxed, great benefits, catered lunch and dinner, great office downtown."
2069,None in the 3 months I have been employed.,"Benefits, work culture, collective work goals, salary, career opportunities"
2070,There isn´t any cons that I´m aware of it.,"I´m here for only 3 month, and I fill a form with 4 suggestions, and for the first time In my career I can see that my opinion realy meather, I´m reply on the e-mail with the changes. And they give me credit for that. Thats outstanding."
2071,"Structure, career path, safety, feedback.","Nescafe Machine, Computers, trainings, benefits."
2072,-Some inefficiencies and overlaps between teams and roles,"-International environment, very challenging and experienced colleagues\r\n-A lot of resources\r\n-Initiatives from the bottom are being taken into account\r\n-Travel is encouraged\r\n-Perks and facilities"
2073,I can't be a uber driver,I feel good working here
2074,A lot of work,"Amazing work, companionship, it's a great adventure.\r\nIf you want to change the world and not just work, join Uber."
2075,The public controversies mean that you find yourself defending your company a fair bit. If you really really care what other people think of you you might find it hard.,"I've never been bored, the perks are great, I have a really supportive team and the general atmosphere is optimistic and fast moving"
2076,Company-wise collaboration spirit was under-developed; and projects are sometimes redundant across teams (but both are changing for the better).,"Meaningful work, having a manager an a team that really cares about your growth."
2077,"Low pay, online meetings, minimal communication with management","Flexible hours, Uber rider credits"
2078,Location and no remote options \nTime taken for interviews \nScheduling delays\nToo much time commuting \nToo many management changes \nSingle product company,Challenging and learning organization \nOpportunities to grow \nOpportunities to excel\nVery nurturing organization and freedom to give ideas innovate and grow
